Unnamed: 0,epsilon_value,result,time,verifier,obtained_labels,network_name,image_name,mps_path
21,0.049,UNSAT,447.345,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_049.mps
22,0.051,UNSAT,340.173,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_051.mps
23,0.053,UNSAT,767.273,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_053.mps
24,0.055,UNSAT,582.868,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_055.mps
25,0.057,UNSAT,907.628,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_057.mps
26,0.059,UNSAT,3181.789,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_059.mps
27,0.061,UNSAT,718.721,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_061.mps
28,0.063,UNSAT,1194.269,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_063.mps
29,0.065,UNSAT,1196.342,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_065.mps
30,0.067,TIMEOUT,3600.043920516968,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_067.mps
0,0.181,TIMEOUT,3600.062540769577,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_181.mps
1,0.201,TIMEOUT,3600.058609485626,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_201.mps
2,0.161,TIMEOUT,3600.06543302536,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_161.mps
3,0.221,TIMEOUT,3600.0640938282013,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_221.mps
4,0.141,TIMEOUT,3600.061329603195,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_141.mps
5,0.241,TIMEOUT,3600.060182094574,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_241.mps
6,0.121,TIMEOUT,3600.0556008815765,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_121.mps
7,0.261,TIMEOUT,3600.0666632652283,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_261.mps
8,0.101,TIMEOUT,3600.072938680649,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_101.mps
9,0.281,TIMEOUT,3600.060353755951,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_281.mps
10,0.081,TIMEOUT,3600.0729162693024,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_081.mps
11,0.301,TIMEOUT,3600.0527567863464,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_301.mps
12,0.061,TIMEOUT,3600.069560527801,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_061.mps
13,0.321,TIMEOUT,3600.0637476444244,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_321.mps
14,0.041,TIMEOUT,3600.047483921051,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_041.mps
15,0.341,TIMEOUT,3600.062307357788,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_341.mps
16,0.021,UNSAT,0.357,Symphony,,mnist-net_256x2,image_2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_2/mnist-net_256x2_2_0_021.mps
